File,Cost,NumEvals,Best_Dir_X,Best_Dir_Y,Best_Dir_Z
36.stl,127.13087056178811,256,0,-1,0
adaptor.stl,7.161519081443245,181,0,0,1
Aerospace_Beam2.STL,3.1205792430182977,180,0,1,0
Aerospace_Beam_Fillets.STL,3.3578201210847984,196,0,1,0
bearing bracket.STL,2.7266650319737837,175,0,1,0
Casing.stl,58.064621936272886,123,-1,0,0
CoffeeSpoonHolder.stl,1.3399853335731624,196,0,0,-1
Cuboide.stl,4.034882384929708,160,0,1,0
Lower Wishbone.STL,4.439103757914224,146,0,1,0
mendel_extruder.stl,1.823186551270639,359,0,0,1
Mic_Holder_JR.stl,12.169317423097114,194,1,0,0
Mic_Holder_SW.stl,1.4196971407938475,303,0,1,0
ObliqueHole.stl,2.2720157925401354,279,0,-1,0
piston.STL,12.49611132029929,183,0,-1,0
Pump.stl,3.343186244647541,153,0,-1,0
radiobox.stl,3.318067851718954,194,0,1,0
spherebox.stl,229298369.49897942,211,0.5257311121191336,0,-0.85065080835204
SquareSupportWithAdditionsForSegmentationTesting.STL,5.613609110934548,344,0,-1,0
Square_Support.STL,4.23044885706955,339,0,-1,0
sth2.STL,7.060031557312617,184,0,1,0
TestPartC.STL,1.701038403360377,283,0,1,0
TestPartK2.STL,34.711252831887855,249,0,-1,0
TieFighter.STL,28.585840479317444,238,0,-1,0
TXT - Amortisseur-1 X5 butoir de ressort-1.STL,125865456.38752827,211,-1,0,0
TXT - G5 support de carrosserie-1.STL,6.454801378006399,236,-1,0,0
